session_id,offer_percentage,customer_total_orders,customer_total_spent,product_stock,product_days_listed,product_total_sales,active_negotiations,customer_success_rate,customer_avg_discount,round_number,category_id,original_price,min_price_percentage,decision
1,77.78,4,7420,232,1,5,0,1,8.89,1,3,450,86.67,-1
1,84.44,4,7420,232,1,5,0,1,8.89,2,3,450,86.67,-1
1,88.89,4,7420,232,1,5,0,1,8.89,3,3,450,86.67,0
1,91.11,4,7420,232,1,5,0,1,8.89,4,3,450,86.67,1
2,77.78,1,102500,232,1,5,0,0.5,8.89,1,3,450,86.67,-1
2,85.56,1,102500,232,1,5,0,0.5,8.89,2,3,450,86.67,-1
2,87.78,1,102500,232,1,5,0,0.5,8.89,3,3,450,86.67,0
2,86.67,1,102500,232,1,5,0,0.5,8.89,4,3,450,86.67,0
2,88.89,1,102500,232,1,5,0,0.5,8.89,5,3,450,86.67,0
3,91.11,1,102500,232,1,5,0,0.5,8.89,1,3,450,86.67,1
4,57,1,13277.3,192,297,26,2,0.25,29,1,5,23819.25,82,0
4,84,1,13277.3,192,297,26,2,0.25,29,2,5,23819.25,82,0
4,82,1,13277.3,192,297,26,2,0.25,29,3,5,23819.25,82,0
5,78,4,51831.65,81,229,23,4,0.4,26,1,4,981.55,63,0
5,76,4,51831.65,81,229,23,4,0.4,26,2,4,981.55,63,0
5,67,4,51831.65,81,229,23,4,0.4,26,3,4,981.55,63,0
6,77,6,302932.6,156,526,16,1,0.3333,20,1,2,7239.82,78,0
6,98,6,302932.6,156,526,16,1,0.3333,20,2,2,7239.82,78,0
6,94,6,302932.6,156,526,16,1,0.3333,20,3,2,7239.82,78,0
7,75,3,212576.18,148,396,25,1,0.5,15.33,1,4,1485.38,84,1
8,65,3,96889.08,2,261,24,1,0.3333,8.5,1,3,14036.1,66,0
8,71,3,96889.08,2,261,24,1,0.3333,8.5,2,3,14036.1,66,-1
9,68,1,10324.08,142,568,18,2,0.5556,16.8,1,1,640.53,67,1
10,61,2,99592.29,145,575,17,1,0.6,16.67,1,1,26184.24,83,0
10,88,2,99592.29,145,575,17,1,0.6,16.67,2,1,26184.24,83,0
10,90,2,99592.29,145,575,17,1,0.6,16.67,3,1,26184.24,83,0
10,81,2,99592.29,145,575,17,1,0.6,16.67,4,1,26184.24,83,1
11,82,3,119118.25,192,125,18,2,0.4,22.5,1,1,16962.67,73,1
12,55,6,301723.65,30,449,27,1,0.3333,18.5,1,1,4933.71,63,0
12,90,6,301723.65,30,449,27,1,0.3333,18.5,2,1,4933.71,63,0
12,65,6,301723.65,30,449,27,1,0.3333,18.5,3,1,4933.71,63,0
12,81,6,301723.65,30,449,27,1,0.3333,18.5,4,1,4933.71,63,0
13,79,4,142534.18,129,227,24,1,0.4286,18,1,4,1503.5,80,0
13,82,4,142534.18,129,227,24,1,0.4286,18,2,4,1503.5,80,0
13,83,4,142534.18,129,227,24,1,0.4286,18,3,4,1503.5,80,0
13,56,4,142534.18,129,227,24,1,0.4286,18,4,4,1503.5,80,1
14,59,2,94842.64,72,422,19,1,0.4444,13,1,3,14020.52,60,0
14,71,2,94842.64,72,422,19,1,0.4444,13,2,3,14020.52,60,-1
15,67,1,1405.24,81,229,23,4,0.5,14,1,4,981.55,63,0
15,69,1,1405.24,81,229,23,4,0.5,14,2,4,981.55,63,0
15,89,1,1405.24,81,229,23,4,0.5,14,3,4,981.55,63,1
16,61,2,16374.11,181,599,21,1,0.3333,17.33,1,4,472.79,76,0
16,72,2,16374.11,181,599,21,1,0.3333,17.33,2,4,472.79,76,1
17,74,8,263277.94,155,514,22,3,0.6667,19,1,1,19335.73,84,0
17,60,8,263277.94,155,514,22,3,0.6667,19,2,1,19335.73,84,1
18,85,4,120531.62,83,553,21,1,1,14.2,1,3,11355.24,77,0
18,98,4,120531.62,83,553,21,1,1,14.2,2,3,11355.24,77,0
18,87,4,120531.62,83,553,21,1,1,14.2,3,3,11355.24,77,0
18,84,4,120531.62,83,553,21,1,1,14.2,4,3,11355.24,77,1
19,85,2,86511.04,126,494,17,2,0.6667,13.5,1,1,28394.77,62,0
19,89,2,86511.04,126,494,17,2,0.6667,13.5,2,1,28394.77,62,1
20,77,7,173519.56,132,537,9,3,0.5,11,1,5,9579.34,74,0
20,62,7,173519.56,132,537,9,3,0.5,11,2,5,9579.34,74,0
20,80,7,173519.56,132,537,9,3,0.5,11,3,5,9579.34,74,0
20,68,7,173519.56,132,537,9,3,0.5,11,4,5,9579.34,74,0
20,69,7,173519.56,132,537,9,3,0.5,11,5,5,9579.34,74,0
21,97,4,160379.25,29,386,21,2,0.5,15,1,5,815.79,76,0
21,67,4,160379.25,29,386,21,2,0.5,15,2,5,815.79,76,0
21,80,4,160379.25,29,386,21,2,0.5,15,3,5,815.79,76,0
22,66,1,51939.9,61,384,23,2,0.25,19.5,1,2,5245.89,77,0
23,68,5,126752.35,148,83,17,0,1,18,1,4,1718.36,72,0
23,62,5,126752.35,148,83,17,0,1,18,2,4,1718.36,72,1
24,64,4,171538.34,52,432,13,1,0.6667,23,1,5,3284.27,63,0
24,63,4,171538.34,52,432,13,1,0.6667,23,2,5,3284.27,63,0
24,55,4,171538.34,52,432,13,1,0.6667,23,3,5,3284.27,63,1
25,71,1,5350.26,155,232,16,1,0.5714,7.75,1,5,8027.21,66,1
26,85,4,107765.78,112,510,24,2,0.7143,16,1,2,1081.2,62,0
26,79,4,107765.78,112,510,24,2,0.7143,16,2,2,1081.2,62,1
27,73,2,62945.31,179,455,13,1,0.6667,18.5,1,2,4264,66,0
27,77,2,62945.31,179,455,13,1,0.6667,18.5,2,2,4264,66,0
27,88,2,62945.31,179,455,13,1,0.6667,18.5,3,2,4264,66,1
28,93,4,78730.34,142,79,22,1,1,13.5,1,1,15472.88,80,1
29,85,1,5634.79,101,356,18,1,0.5,25.33,1,4,1429.12,66,0
29,67,1,5634.79,101,356,18,1,0.5,25.33,2,4,1429.12,66,1
30,95,1,32037.93,4,358,18,2,0,0,1,5,11147.71,71,-1
31,60,1,12659,23,199,19,1,0.4,16,1,2,5326.52,79,0
31,79,1,12659,23,199,19,1,0.4,16,2,2,5326.52,79,1
32,81,2,158054.6,94,550,28,4,0.6,14.33,1,2,7778.58,73,1
33,71,4,165888.62,195,281,25,0,0.2,10,1,4,1279.28,72,-1
34,98,2,41048.47,55,421,23,1,0.375,11.67,1,4,1139.81,66,0
34,83,2,41048.47,55,421,23,1,0.375,11.67,2,4,1139.81,66,-1
35,65,0,0,98,313,15,1,0.6667,17,1,5,12700.48,63,0
35,73,0,0,98,313,15,1,0.6667,17,2,5,12700.48,63,0
35,96,0,0,98,313,15,1,0.6667,17,3,5,12700.48,63,0
35,60,0,0,98,313,15,1,0.6667,17,4,5,12700.48,63,0
36,83,5,205550.21,188,87,23,0,0.6667,10.5,1,3,11306.62,74,0
36,87,5,205550.21,188,87,23,0,0.6667,10.5,2,3,11306.62,74,1
37,96,5,154261.36,52,137,17,2,0.25,10,1,2,6805.06,61,0
37,84,5,154261.36,52,137,17,2,0.25,10,2,2,6805.06,61,0
38,56,2,30429.87,5,441,17,2,0.6,21,1,3,11677.01,80,0
38,85,2,30429.87,5,441,17,2,0.6,21,2,3,11677.01,80,0
38,61,2,30429.87,5,441,17,2,0.6,21,3,3,11677.01,80,0
38,68,2,30429.87,5,441,17,2,0.6,21,4,3,11677.01,80,0
38,59,2,30429.87,5,441,17,2,0.6,21,5,3,11677.01,80,0
39,77,5,148068.79,172,276,23,0,0.6,15.67,1,1,7271.06,71,0
39,93,5,148068.79,172,276,23,0,0.6,15.67,2,1,7271.06,71,1
40,61,5,203465.94,195,526,12,0,0.5,15,1,3,9414,83,0
40,73,5,203465.94,195,526,12,0,0.5,15,2,3,9414,83,0
40,98,5,203465.94,195,526,12,0,0.5,15,3,3,9414,83,0
40,74,5,203465.94,195,526,12,0,0.5,15,4,3,9414,83,1
41,89,3,154025.41,90,536,26,1,0.75,16.67,1,2,1818.04,63,0
41,60,3,154025.41,90,536,26,1,0.75,16.67,2,2,1818.04,63,0
41,72,3,154025.41,90,536,26,1,0.75,16.67,3,2,1818.04,63,0
41,70,3,154025.41,90,536,26,1,0.75,16.67,4,2,1818.04,63,1
42,83,6,360587.07,155,514,22,3,1,16.33,1,1,19335.73,84,0
42,58,6,360587.07,155,514,22,3,1,16.33,2,1,19335.73,84,0
42,57,6,360587.07,155,514,22,3,1,16.33,3,1,19335.73,84,1
43,74,2,107225.81,160,550,11,1,0.75,21.67,1,3,8750.84,79,0
43,66,2,107225.81,160,550,11,1,0.75,21.67,2,3,8750.84,79,0
43,85,2,107225.81,160,550,11,1,0.75,21.67,3,3,8750.84,79,1
44,82,0,0,81,229,23,4,1,8.5,1,4,981.55,63,1
45,60,1,29441.3,142,449,30,2,0.6667,17.5,1,2,4940.82,75,1
46,78,4,103396.21,22,402,26,1,0.4286,15.67,1,2,2418.51,76,0
46,80,4,103396.21,22,402,26,1,0.4286,15.67,2,2,2418.51,76,0
46,81,4,103396.21,22,402,26,1,0.4286,15.67,3,2,2418.51,76,1
47,97,5,110602.07,54,423,19,1,0.5,16,1,1,11289.23,62,0
47,87,5,110602.07,54,423,19,1,0.5,16,2,1,11289.23,62,0
47,57,5,110602.07,54,423,19,1,0.5,16,3,1,11289.23,62,0
47,82,5,110602.07,54,423,19,1,0.5,16,4,1,11289.23,62,1
48,64,3,132921.38,75,412,29,2,0.4,20,1,4,1624.01,67,-1
49,56,2,163758.22,98,491,25,0,1,17.67,1,2,4195.07,75,1
50,94,4,136279.65,70,548,19,3,0.5,24,1,1,15915.25,63,0
50,91,4,136279.65,70,548,19,3,0.5,24,2,1,15915.25,63,0
50,56,4,136279.65,70,548,19,3,0.5,24,3,1,15915.25,63,1
51,68,2,27867.44,55,500,28,2,0.25,12,1,2,6931.24,79,0
51,81,2,27867.44,55,500,28,2,0.25,12,2,2,6931.24,79,0
51,84,2,27867.44,55,500,28,2,0.25,12,3,2,6931.24,79,-1
52,92,2,134860.27,33,189,21,2,0.5,17.67,1,5,8200.08,71,0
52,61,2,134860.27,33,189,21,2,0.5,17.67,2,5,8200.08,71,0
52,92,2,134860.27,33,189,21,2,0.5,17.67,3,5,8200.08,71,0
52,92,2,134860.27,33,189,21,2,0.5,17.67,4,5,8200.08,71,0
53,76,3,209020.16,11,408,22,2,0.8571,18.33,1,3,4666.51,77,0
53,84,3,209020.16,11,408,22,2,0.8571,18.33,2,3,4666.51,77,0
53,93,3,209020.16,11,408,22,2,0.8571,18.33,3,3,4666.51,77,0
53,91,3,209020.16,11,408,22,2,0.8571,18.33,4,3,4666.51,77,1
54,89,5,211041.69,15,268,13,0,1,23,1,3,6855.38,67,0
54,96,5,211041.69,15,268,13,0,1,23,2,3,6855.38,67,1
55,81,3,172924.83,58,189,21,1,0.2,11,1,2,6742.12,82,0
55,56,3,172924.83,58,189,21,1,0.2,11,2,2,6742.12,82,0
55,87,3,172924.83,58,189,21,1,0.2,11,3,2,6742.12,82,0
56,92,3,117390.4,22,402,26,1,0.5556,14,1,2,2418.51,76,0
56,77,3,117390.4,22,402,26,1,0.5556,14,2,2,2418.51,76,0
57,84,6,184173.38,57,496,24,3,0.1667,13,1,5,3116.22,79,0
57,87,6,184173.38,57,496,24,3,0.1667,13,2,5,3116.22,79,0
57,94,6,184173.38,57,496,24,3,0.1667,13,3,5,3116.22,79,1
58,87,0,0,178,259,29,1,0.8333,20.4,1,4,2190.17,72,0
58,91,0,0,178,259,29,1,0.8333,20.4,2,4,2190.17,72,0
58,73,0,0,178,259,29,1,0.8333,20.4,3,4,2190.17,72,0
58,93,0,0,178,259,29,1,0.8333,20.4,4,4,2190.17,72,0
58,83,0,0,178,259,29,1,0.8333,20.4,5,4,2190.17,72,0
59,58,2,66132.52,87,190,19,2,0.3333,11,1,4,1827.28,77,0
60,92,4,105731.25,87,559,22,0,0,0,1,3,6497.79,63,0
60,88,4,105731.25,87,559,22,0,0,0,2,3,6497.79,63,0
60,92,4,105731.25,87,559,22,0,0,0,3,3,6497.79,63,0
60,68,4,105731.25,87,559,22,0,0,0,4,3,6497.79,63,0
61,62,3,121743.45,33,171,20,0,0.2,24,1,3,12852.85,74,-1
62,81,2,30429.87,80,188,19,1,0.6,21,1,3,1947.53,66,0
62,86,2,30429.87,80,188,19,1,0.6,21,2,3,1947.53,66,0
62,65,2,30429.87,80,188,19,1,0.6,21,3,3,1947.53,66,0
62,85,2,30429.87,80,188,19,1,0.6,21,4,3,1947.53,66,0
63,73,3,130396.01,27,337,25,1,0.5714,20.25,1,1,17170.61,61,0
63,71,3,130396.01,27,337,25,1,0.5714,20.25,2,1,17170.61,61,0
63,84,3,130396.01,27,337,25,1,0.5714,20.25,3,1,17170.61,61,0
63,59,3,130396.01,27,337,25,1,0.5714,20.25,4,1,17170.61,61,1
64,97,3,180054.51,99,221,22,1,0.4,15,1,1,14029.93,68,0
64,75,3,180054.51,99,221,22,1,0.4,15,2,1,14029.93,68,0
64,94,3,180054.51,99,221,22,1,0.4,15,3,1,14029.93,68,0
64,70,3,180054.51,99,221,22,1,0.4,15,4,1,14029.93,68,0
65,63,4,88594.3,40,221,24,2,0.5,12,1,5,21401.15,63,0
65,55,4,88594.3,40,221,24,2,0.5,12,2,5,21401.15,63,0
65,73,4,88594.3,40,221,24,2,0.5,12,3,5,21401.15,63,1
66,97,3,214623.89,156,526,16,1,1,10.5,1,2,7239.82,78,0
66,83,3,214623.89,156,526,16,1,1,10.5,2,2,7239.82,78,0
66,69,3,214623.89,156,526,16,1,1,10.5,3,2,7239.82,78,1
67,59,1,12983.28,108,209,28,0,0.75,18.67,1,1,12081.47,77,0
67,88,1,12983.28,108,209,28,0,0.75,18.67,2,1,12081.47,77,0
67,79,1,12983.28,108,209,28,0,0.75,18.67,3,1,12081.47,77,0
67,92,1,12983.28,108,209,28,0,0.75,18.67,4,1,12081.47,77,1
68,64,6,154468.46,29,386,21,2,0.5,16,1,5,815.79,76,0
68,97,6,154468.46,29,386,21,2,0.5,16,2,5,815.79,76,0
68,73,6,154468.46,29,386,21,2,0.5,16,3,5,815.79,76,0
68,88,6,154468.46,29,386,21,2,0.5,16,4,5,815.79,76,1
69,76,3,22436.43,193,179,23,2,0.5,16,1,5,12008.54,76,1
70,97,2,64912.58,79,87,15,1,0.4,19.5,1,1,28515.14,66,0
70,83,2,64912.58,79,87,15,1,0.4,19.5,2,1,28515.14,66,0
